picada,placa,codigo,comum,cap,dap,cc,hc,qf,g,volume,cientifico,familia,obs,categoria,coordx,coordy
68,1617,64,Açacu,249,79.26,75,14,2,0.4934,4.8352,"Hura crepitans L,",Euphorbiaceae,,Porta Semente,588907.138,8893025.848
68,1618,528,Tamarina,187,59.52,55,13,1,0.2783,2.5323,"Dialium guianense (Aubl,) Sandwith",Caesalpiniaceae,,Explorável,588910.217,8893026.48
68,1619,154,Castanharana vermelha,223,70.98,75,19,1,0.3957,5.2632,"Eschweilera odora (Poepp, Ex Berg,) Miers",Lecythidaceae,,Explorável,588912.772,8893023.332
68,1620,160,Caucho,151,48.06,45,11,1,0.1814,1.3971,"Castilla ulei Warb,",Moraceae,,Corte futuro,588688.137,8893015.506
68,1621,168,Cedro rosa,158,50.29,55,15,2,0.1987,2.0859,"Cedrela odorata L,",Meliaceae,,Porta Semente,588679.95,8893014.766
68,1622,571,Castanharana branca,197,62.71,65,16,1,0.3088,3.4589,"Eschweilera juruensis R, Knuth",Lecythidaceae,,Explorável,588661.563,8893013.171
69,1623,516,Sumauma preta,250,79.58,75,12,2,0.4974,4.1778,"Ceiba samauma (Mart,) K, Schum,",Malvaceae,,Explorável,588611.963,8892990.279
69,1624,192,Cumaru ferro,474,150.88,155,20,1,1.7879,25.0308,"Dipteryx odorata (Aubl,) Willd,",Fabaceae,,Explorável,588651.478,8892991.452
69,1625,9,Abiurana vermelha,223,70.98,75,13,1,0.3957,3.6012,"Pouteria torta (Mart,) Radlk, subsp, tuberculata (Sleumer) T, D, Penn",Sapotaceae,,Explorável,588682.677,8892980.485
69,1626,322,Jutaí,206,65.57,65,16,1,0.3377,3.7822,Hymenaea oblongifolia Huber,Caesalpiniaceae,,Porta Semente,588789.442,8892979.092
69,1627,64,Açacu,719,228.86,225,15,2,4.1138,43.1954,"Hura crepitans L,",Euphorbiaceae,,Porta Semente,588888.162,8892993.984
70,1628,182,Copaíba,474,150.88,155,20,3,1.7879,25.0308,Copaifera multijuga Hayne,Caesalpiniaceae,Oco,Porta Semente,589097.066,8892978.056
70,1629,64,Açacu,176,56.02,55,13,1,0.2465,2.2431,"Hura crepitans L,",Euphorbiaceae,,Explorável,589003.322,8892950.955
70,1630,157,Catuaba,110,35.01,35,14,1,0.0963,0.9436,"Qualea tessmannii Mildbr,",Vochysiaceae,,APP,588982.931,8892944.796
70,1631,640,Imbiridiba amarela,154,49.02,45,12,2,0.1887,1.5853,"Terminalia amazonica (J, F, Gmel,) Exell",Combretaceae,,APP,588963.495,8892953.658
70,1632,577,Marfim roxo,271,86.26,85,10,2,0.5844,4.091,"Aspidosperma desmanthum Benth, ex M³ll, Arg,",Apocynaceae,,APP,588848.959,8892929.268
70,1633,192,Cumaru ferro,232,73.85,75,15,1,0.4283,4.4973,"Dipteryx odorata (Aubl,) Willd,",Fabaceae,,Porta Semente,588821.153,8892937.437
70,1634,160,Caucho,184,58.57,55,10,1,0.2694,1.8859,"Castilla ulei Warb,",Moraceae,,Explorável,588768.755,8892957.613
70,1635,61,Aroeira,160,50.93,55,18,1,0.2037,2.5669,Astronium lecointei Ducke,Anacardiaceae,,APP,588771.306,8892956.392
70,1636,64,Açacu,140,44.56,45,10,2,0.156,1.0918,"Hura crepitans L,",Euphorbiaceae,,APP,588721.352,8892939.156
70,1637,64,Açacu,396,126.05,125,16,1,1.2479,13.9765,"Hura crepitans L,",Euphorbiaceae,,APP,588669.415,8892907.224
70,1638,716,Manitê,297,94.54,95,15,1,0.7019,7.3704,"Brosimum alicastrum Sw, subsp, bolivarense (Pittier) C, C, Berg",Moraceae,,Explorável,588634.151,8892945.969
70,1639,263,Guaribeiro,232,73.85,75,17,1,0.4283,5.097,"Phyllocarpus riedelii Tul,",Caesalpiniaceae,,Explorável,588590.641,8892942.92
71,1640,528,Tamarina,117,37.24,35,12,1,0.1089,0.915,"Dialium guianense (Aubl,) Sandwith",Caesalpiniaceae,,APP,588625.77,8892896.469
71,1641,9,Abiurana vermelha,157,49.97,45,12,1,0.1962,1.6477,"Pouteria torta (Mart,) Radlk, subsp, tuberculata (Sleumer) T, D, Penn",Sapotaceae,,APP,588649.269,8892899.794
71,1642,511,Sucupira amarela,252,80.21,85,17,1,0.5053,6.0137,"Diplotropis purpurea (Rich,) Amshoff",Fabaceae,,APP,588679.201,8892904.503
71,1643,610,Amarelão,145,46.15,45,16,1,0.1673,1.8739,Aspidosperma williamsii Duarte,Apocynaceae,,APP,588698.739,8892914.595
71,1644,155,Castanheira,,,#VALUE!,,,,,"Bertholletia excelsa Kunth,",Lecythidaceae,,APP,588916.214,8892910.065
72,1645,434,Ipê amarelo,210,66.85,65,15,2,0.3509,3.6848,"Tabebuia serratifolia (Vahl) G, Nicholson",Bignoniaceae,,Porta Semente,589044.83,8892866.141
72,1646,64,Açacu,263,83.72,85,13,1,0.5504,5.0089,"Hura crepitans L,",Euphorbiaceae,,Explorável,589015.021,8892870.673
72,1647,64,Açacu,372,118.41,115,16,1,1.1012,12.3337,"Hura crepitans L,",Euphorbiaceae,,Explorável,588973.752,8892850.931
72,1648,157,Catuaba,196,62.39,65,17,1,0.3057,3.6379,"Qualea tessmannii Mildbr,",Vochysiaceae,,Porta Semente,588975.171,8892841.52
72,1649,640,Imbiridiba amarela,142,45.2,45,13,1,0.1605,1.4602,"Terminalia amazonica (J, F, Gmel,) Exell",Combretaceae,,APP,588915.284,8892849.629
72,1650,154,Castanharana vermelha,274,87.22,85,18,2,0.5974,7.5277,"Eschweilera odora (Poepp, Ex Berg,) Miers",Lecythidaceae,,Explorável,588857.859,8892853.663
72,1651,160,Caucho,135,42.97,45,11,1,0.145,1.1167,"Castilla ulei Warb,",Moraceae,,Corte futuro,588866.399,8892844.745
72,1652,160,Caucho,173,55.07,55,11,2,0.2382,1.8339,"Castilla ulei Warb,",Moraceae,,Porta Semente,588837.97,8892846.131
72,1653,264,Guariúba,273,86.9,85,15,1,0.5931,6.2274,"Clarisia racemosa Ruiz & Pav,",Moraceae,,Rara,588805.217,8892852.94
72,1654,255,Garapeira,258,82.12,85,16,1,0.5297,5.9326,Apuleia molaris Spruce ex Benth,Caesalpiniaceae,,Explorável,588808.915,8892843.792
72,1655,467,Pinho cuiabano,185,58.89,55,14,1,0.2724,2.6691,"Schizolobium amazonicum Huber ex Ducke,",Caesalpiniaceae,,Explorável,588793.853,8892837.675
72,1656,516,Sumauma preta,129,41.06,45,16,1,0.1324,1.4832,"Ceiba samauma (Mart,) K, Schum,",Malvaceae,,APP,588728.941,8892826.991
